
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
   038   | (6.02e-01 | 1.26e+06) | 6.0847e+03 | 2.00e-05 | 6.10e-05 (4)
   039   | (5.02e-01 | 1.05e+06) | 6.0845e+03 | 2.23e-05 | 7.08e-05 (4)
   040   | (4.18e-01 | 1.75e+06) | 6.0844e+03 | 2.50e-05 | 4.66e-05 (4)
   041   | (3.48e-01 | 1.46e+06) | 6.0842e+03 | 2.78e-05 | 5.41e-05 (4)
   042   | (5.81e-01 | 1.22e+06) | 6.0841e+03 | 2.16e-05 | 6.28e-05 (4)
   043   | (4.84e-01 | 1.01e+06) | 6.0839e+03 | 2.02e-05 | 7.30e-05 (4)
   044   | (4.03e-01 | 1.69e+06) | 6.0838e+03 | 2.11e-05 | 4.80e-05 (4)
   045   | (3.36e-01 | 1.41e+06) | 6.0837e+03 | 2.23e-05 | 5.57e-05 (4)
   046   | (1.12e+00 | 1.17e+06) | 6.0836e+03 | 1.45e-05 | 6.47e-05 (4)
   047   | (9.33e-01 | 9.79e+05) | 6.0835e+03 | 1.02e-05 | 7.52e-05 (4)
   048   | (7.78e-01 | 1.63e+06) | 6.0835e+03 | 1.01e-05 | 4.94e-05 (4)
   049   | (6.48e-01 | 1.36e+06) | 6.0834e+03 | 1.06e-05 | 5.74e-05 (4)
   050   | (5.40e-01 | 1.13e+06) | 6.0833e+03 | 1.20e-05 | 6.66e-05 (4)
   051   | (4.50e-01 | 9.44e+05) | 6.0832e+03 | 1.37e-05 | 7.74e-05 (4)
   052   | (3.75e-01 | 1.57e+06) | 6.0832e+03 | 1.55e-05 | 5.09e-05 (4)
   053   | (6.25e-01 | 1.31e+06) | 6.0831e+03 | 1.22e-05 | 5.91e-05 (4)
   054   | (5.21e-01 | 1.09e+06) | 6.0830e+03 | 1.16e-05 | 6.87e-05 (4)
   055   | (4.34e-01 | 1.82e+06) | 6.0829e+03 | 1.24e-05 | 4.52e-05 (4)
   056   | (3.62e-01 | 1.52e+06) | 6.0828e+03 | 1.39e-05 | 5.24e-05 (4)
   057   | (3.01e-01 | 1.26e+06) | 6.0828e+03 | 1.54e-05 | 6.09e-05 (4)
   058   | (5.02e-01 | 1.05e+06) | 6.0827e+03 | 1.19e-05 | 7.07e-05 (4)
   059   | (8.37e-01 | 1.76e+06) | 6.0826e+03 | 8.67e-06 | 4.65e-05 (4)
   060   | (6.98e-01 | 1.46e+06) | 6.0826e+03 | 7.06e-06 | 5.40e-05 (4)
   061   | (5.82e-01 | 1.22e+06) | 6.0825e+03 | 7.49e-06 | 6.27e-05 (4)
   062   | (4.85e-01 | 1.02e+06) | 6.0825e+03 | 8.35e-06 | 7.29e-05 (4)
   063   | (4.04e-01 | 1.69e+06) | 6.0824e+03 | 9.39e-06 | 4.79e-05 (4)
   064   | (6.73e-01 | 1.41e+06) | 6.0824e+03 | 7.56e-06 | 5.56e-05 (4)
   065   | (5.61e-01 | 1.18e+06) | 6.0823e+03 | 7.19e-06 | 6.46e-05 (4)
   066   | (4.67e-01 | 9.80e+05) | 6.0823e+03 | 7.76e-06 | 7.51e-05 (4)
   067   | (3.90e-01 | 1.63e+06) | 6.0822e+03 | 8.75e-06 | 4.93e-05 (4)
   068   | (3.25e-01 | 1.36e+06) | 6.0822e+03 | 9.93e-06 | 5.73e-05 (4)
   069   | (5.41e-01 | 1.13e+06) | 6.0821e+03 | 7.78e-06 | 6.66e-05 (4)
   070   | (4.51e-01 | 9.45e+05) | 6.0821e+03 | 7.45e-06 | 7.73e-05 (4)
   071   | (7.51e-01 | 1.58e+06) | 6.0821e+03 | 5.74e-06 | 5.08e-05 (4)
   072   | (6.26e-01 | 1.31e+06) | 6.0820e+03 | 5.22e-06 | 5.90e-05 (4)
   073   | (5.22e-01 | 1.09e+06) | 6.0820e+03 | 5.62e-06 | 6.86e-05 (4)
   074   | (4.35e-01 | 1.82e+06) | 6.0819e+03 | 6.33e-06 | 4.51e-05 (4)
   075   | (3.62e-01 | 1.52e+06) | 6.0819e+03 | 7.09e-06 | 5.24e-05 (4)
   076   | (6.04e-01 | 1.27e+06) | 6.0819e+03 | 5.89e-06 | 6.08e-05 (4)
   077   | (5.03e-01 | 1.06e+06) | 6.0818e+03 | 5.63e-06 | 7.06e-05 (4)
   078   | (4.19e-01 | 1.76e+06) | 6.0818e+03 | 5.97e-06 | 4.65e-05 (4)
   079   | (6.99e-01 | 1.47e+06) | 6.0818e+03 | 4.77e-06 | 5.39e-05 (4)
   080   | (5.82e-01 | 1.22e+06) | 6.0817e+03 | 4.50e-06 | 6.26e-05 (4)
   081   | (4.85e-01 | 1.02e+06) | 6.0817e+03 | 4.88e-06 | 7.28e-05 (4)
   082   | (4.05e-01 | 1.70e+06) | 6.0817e+03 | 5.52e-06 | 4.78e-05 (4)
   083   | (3.37e-01 | 1.41e+06) | 6.0816e+03 | 6.19e-06 | 5.56e-05 (4)
   084   | (5.62e-01 | 1.18e+06) | 6.0816e+03 | 5.07e-06 | 6.45e-05 (4)
   085   | (9.36e-01 | 9.82e+05) | 6.0816e+03 | 3.64e-06 | 7.50e-05 (4)
   086   | (7.80e-01 | 1.64e+06) | 6.0816e+03 | 3.07e-06 | 4.93e-05 (4)
